constraint_id,h1_band,proj_v1,proj_v2,proj_v3,proj_v4,efrac_v1,efrac_v2,efrac_v3,efrac_v4
absorbing_markov_chains,0,-0.24235677819369053,0.03842524726328298,0.01955261072191807,0.00012121586922809792,-1.4026356515079525e-13,0.019226263178897328,0.979866164292934,0.0009075725283089431
abstraction_boundary_overrun,0,-0.9721286829888861,0.21142459796327703,0.0011346387026365944,0.026417696102694052,-5.165020870988508e-14,0.013321790566952369,7.552008566555823e-05,0.9866026893474337
academic_fashion_modernism_2026,0,-0.9523121441723569,0.32442747213927203,0.3460659417486565,0.053270744370479794,-4.4781536874348765e-15,0.0028340179920727008,0.6347179644570927,0.36244801755083894
academic_peer_review_gatekeeping,0,-0.9412380777324816,0.331336430537654,0.3267887086218606,0.2453752464762603,-5.296785291948394e-16,0.00035791407710221104,0.06852833782084734,0.931113748102051
academic_tenure_system,0,-0.9444868177341625,0.32930958614037353,0.33244396802641374,0.1890185699218546,-8.549916854739623e-16,0.0005667686825482546,0.11369195268942718,0.8857412786280255
access_arbitrage,0,-1.055301733734281,0.15704016054219763,0.14185481373674347,0.030971628081433195,-2.3927068971702675e-14,0.002889246981174138,0.4640310856231999,0.5330796673956499
acip_hep_b_infant_mandate,0,-0.5449378517012989,0.09973657479701471,0.023657906272379476,0.018282987932494967,-3.1927094461231657e-14,0.005831782981301806,0.06458635591776946,0.9295818611009607
ad_fus_coordination,0,-0.766141337527077,0.11790530807382285,0.09488848968972831,0.11007580718141576,-1.81641597400929e-15,0.00023458014211294594,0.029905241297728053,0.9698601785601607
ad_synaptic_deficit,0,-1.1105746266144525,0.38406229698354555,0.39541116406836846,0.16531805580755238,-1.4087154567800047e-15,0.00091866706082568,0.19166744842386174,0.807413884515314
adaptive_lag_trap,3,-1.04735891952594,0.16199557355416103,0.12802832262723743,0.16875754232498497,-1.4541336000621393e-15,0.00018969092001557968,0.02332104842713877,0.976489260652847
adversarial_surface_inflation,0,-0.853797256075973,0.2908657393366836,0.31026641893939594,0.04775993288088355,-4.478151080995807e-15,0.002834010007081781,0.6347190007806824,0.3624469892122403
adversarial_truth_decay,0,-1.0992014327636876,0.3911578768771905,0.3756132234972349,0.36261159327329834,-3.4003450091039573e-16,0.00023480080509878973,0.04261601927019029,0.9571491799247112
advice_as_dangerous_gift,0,-1.0527175977088408,0.19129537291224222,0.07424241653024156,0.038272278769925096,-2.518493057187462e-14,0.004534745638573606,0.13444476989612636,0.8610204844653252
agentive_optimism_2026,5,-1.1828693859056862,0.17126413672663268,0.15062736775613636,0.05245811569474067,-1.4621866529791446e-14,0.0016714334908323665,0.2544835569294361,0.7438450095797462
agg1_genetic_determinism,5,-0.9503333365171555,0.3256620231366326,0.34262132303614373,0.08759759814451565,-2.7784385029257203e-15,0.0017791399123038526,0.38761480565544504,0.6106060544322539
aging_well_assessment,0,-1.0543747077291157,0.15761851937169166,0.14024108886763612,0.04705297183427046,-1.4159800798927584e-14,0.001725475036665025,0.2688688291525606,0.7294056958107885
ai_adoption_stigma,0,-0.853797256075973,0.2908657393366836,0.31026641893939594,0.04775993288088355,-4.478151080995807e-15,0.002834010007081781,0.6347190007806824,0.3624469892122403
ai_auditability_gap,5,-1.1857970216685072,0.16941796071496126,0.17293652190125103,0.05493195022916132,-1.2747312142291304e-14,0.00141887396060859,0.29100072544139083,0.7075804005980133
